STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
SpC,17651,spinal cord,EBE3D5,Spinal Cord,EBE3D5,1
SpR,17652,SpC roof plate,EBE3D5,Spinal Cord,EBE3D5,1
SpA,17653,SpC alar plate,EBE3D5,Spinal Cord,EBE3D5,1
SpAv,111220942,ventricular zone of SpA,EBE3D5,Spinal Cord,EBE3D5,1
SpAm,111220944,mantle zone of SpA,EBE3D5,Spinal Cord,EBE3D5,1
SpAM,17654,medial (cornucommissural) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,1
SpAMv,17655,ventricular zone of the SpAM,EBE3D5,Spinal Cord,EBE3D5,1
SpAMm,17656,mantle zone of the SpAM,EBE3D5,Spinal Cord,EBE3D5,1
SpAMp,17657,periventricular stratum of the SpAM,EBE3D5,Spinal Cord,EBE3D5,1
AM10Sp,17658,alar medial part of Rexed's layer 10,EBE3D5,Spinal Cord,EBE3D5,1
SpAMi,17659,intermediate stratum of the SpAM,EBE3D5,Spinal Cord,EBE3D5,1
4SpCC,17660,cornucommissural part of Rexed's layer 4,EBE3D5,Spinal Cord,EBE3D5,1
IB,17661,internal basilar (cervical) nucleus,EBE3D5,Spinal Cord,EBE3D5,1
Dth,17662,dorsal (thoracic) nucleus of Clarke,EBE3D5,Spinal Cord,EBE3D5,1
LuDCom,17663,lumbar dorsal commissural nucleus,EBE3D5,Spinal Cord,EBE3D5,1
SDCom,17664,sacral dorsal commissural nucleus,EBE3D5,Spinal Cord,EBE3D5,1
SpAMs,17665,superficial stratum of the SpAM,EBE3D5,Spinal Cord,EBE3D5,1
SpAL,17666,lateral (dorsal horn) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,1
SpALv,17667,ventricular zone of the SpAL,EBE3D5,Spinal Cord,EBE3D5,1
AL10Sp,17668,alar lateral part of Rexed's layer 10,EBE3D5,Spinal Cord,EBE3D5,1
SpALm,17669,mantle zone of the SpAL,EBE3D5,Spinal Cord,EBE3D5,1
SpALp,17670,periventricular stratum of the SpAL,EBE3D5,Spinal Cord,EBE3D5,1
SpALi,17671,intermediate stratum of the SpAL,EBE3D5,Spinal Cord,EBE3D5,1
3Sp,17672,Rexed's layer 3,EBE3D5,Spinal Cord,EBE3D5,1
4SpL,17673,Rexed's layer 4 (main or lateral part),EBE3D5,Spinal Cord,EBE3D5,1
SpALs,17674,superficial stratum of the SpAL,EBE3D5,Spinal Cord,EBE3D5,1
1Sp,17675,Rexed's layer 1 (marginal layer),EBE3D5,Spinal Cord,EBE3D5,1
2Sp,17676,Rexed's layer 2 (gelatinous substance),EBE3D5,Spinal Cord,EBE3D5,1
SpAV,17677,ventral (liminal) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,1
SpAVv,17678,ventricular zone of the SpAV,EBE3D5,Spinal Cord,EBE3D5,1
SpAVm,17679,mantle zone of the SpAV,EBE3D5,Spinal Cord,EBE3D5,1
SpAVp,17680,periventricular stratum of the SpAV,EBE3D5,Spinal Cord,EBE3D5,1
AV10Sp,17681,alar ventral part of Rexed's layer 10,EBE3D5,Spinal Cord,EBE3D5,1
SpAVi,17682,intermediate stratum of the SpAV,EBE3D5,Spinal Cord,EBE3D5,1
5Sp,17683,Rexed's layer 5 (neck of dorsal horn),EBE3D5,Spinal Cord,EBE3D5,1
5SpM,17684,medial (deep) part of 5Sp,EBE3D5,Spinal Cord,EBE3D5,1
5SpL,17685,lateral (superficial) part of 5Sp,EBE3D5,Spinal Cord,EBE3D5,1
6Sp,17686,Rexed's layer 6 (basis of dorsal horn),EBE3D5,Spinal Cord,EBE3D5,1
6SpM,17687,medial (deep) part of 6Sp,EBE3D5,Spinal Cord,EBE3D5,1
6SpL,17688,lateral (superficial) part of 6Sp,EBE3D5,Spinal Cord,EBE3D5,1
SpAVs,17689,superficial stratum of the SpAV,EBE3D5,Spinal Cord,EBE3D5,1
LSpin,17690,lateral spinal nucleus,EBE3D5,Spinal Cord,EBE3D5,1
LatC,17691,lateral cervical nucleus,EBE3D5,Spinal Cord,EBE3D5,1
SpB,17692,SpC basal plate (anterior horn),D4CCC0,Spinal Cord,EBE3D5,1
SpBv,111220946,ventricular zone of SpB,D4CCC0,Spinal Cord,EBE3D5,1
SpBm,111220948,mantle zone of SpB,D4CCC0,Spinal Cord,EBE3D5,1
SpBL,17693,lateral part of SpB,D4CCC0,Spinal Cord,EBE3D5,1
SpBLv,17694,ventricular zone of SpBL,D4CCC0,Spinal Cord,EBE3D5,1
SpBLm,17695,mantle zone of SpBL,D4CCC0,Spinal Cord,EBE3D5,1
SpBLp,17696,periventricular stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,1
BL10Sp,17697,basal lateral part of Rexed's layer 10,D4CCC0,Spinal Cord,EBE3D5,1
SpBLi,17698,intermediate stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,1
7Sp,17699,Rexed's layer 7 (intermediate zone),D4CCC0,Spinal Cord,EBE3D5,1
LPrCb,17700,lumbar precerebellar nucleus,D4CCC0,Spinal Cord,EBE3D5,1
SPrCb,17701,sacral precerebellar nucleus,D4CCC0,Spinal Cord,EBE3D5,1
CeCv,17702,central cervical nucleus,D4CCC0,Spinal Cord,EBE3D5,1
VHLI,17703,ventral horn lateral interneurons,D4CCC0,Spinal Cord,EBE3D5,1
TSyP,17704,thoracic sympathetic preganglionic neurons,D4CCC0,Spinal Cord,EBE3D5,1
IMM,17705,intermediomedial nucleus,D4CCC0,Spinal Cord,EBE3D5,1
