STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
p1,16509,prosomere 1,FFE524,Rest Forebrain,C86A39,1
Pt,16510,pretectum,FFE524,Rest Forebrain,C86A39,1
p1R,16511,roof plate of p1,FFEB73,Rest Forebrain,C86A39,1
PCom,16512,bed area of the posterior commissure,F4E35F,Rest Forebrain,C86A39,1
PComv,16513,ventricular zone of PCom,F4E35F,Rest Forebrain,C86A39,1
PComm,16515,mantle zone of PCom,FFEB73,Rest Forebrain,C86A39,1
PComi,16517,intermediate zone of PCom,FFEB73,Rest Forebrain,C86A39,1
PComs,16518,superficial zone of PCom,FFEB73,Rest Forebrain,C86A39,1
p1A,16519,alar plate of p1,FFE524,Rest Forebrain,C86A39,1
PcP,16520,precommissural pretectal domain,FFE524,Rest Forebrain,C86A39,1
PcPL,16530,lateral part of PcP,FFE524,Rest Forebrain,C86A39,1
PcPLm,16532,mantle zone of PcPL,F4E35F,Rest Forebrain,C86A39,1
PcPLp,16533,periventricular stratum of PcPL,F4E35F,Rest Forebrain,C86A39,1
PcPL-PAG,16534,PcPL part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
PcPLi,16535,intermediate stratum of PcPL,F4E35F,Rest Forebrain,C86A39,1
APTD,16536,anterior pretectal nucleus- dorsal core part,F4E35F,Rest Forebrain,C86A39,1
PcPLs,16537,superficial stratum of PcPL,F4E35F,Rest Forebrain,C86A39,1
APTDS,16538,anterior pretectal nucleus- dorsal superficial part,F4E35F,Rest Forebrain,C86A39,1
PcPV,16539,ventral part of PcP,FFE524,Rest Forebrain,C86A39,1
PcPVv,16540,ventricular zone of PcPV,FFE524,Rest Forebrain,C86A39,1
PcPVm,16541,mantle zone of PcPV,F4E35F,Rest Forebrain,C86A39,1
PcPVp,16542,periventricular stratum of PcPV,F4E35F,Rest Forebrain,C86A39,1
PcPV-PAG,16543,PcPV part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
PcPVi,16544,intermediate stratum of PcPV,F4E35F,Rest Forebrain,C86A39,1
APTV,16545,anterior pretectal nucleus- ventral core part,F4E35F,Rest Forebrain,C86A39,1
PcPVs,16546,superficial stratum of PcPV,F4E35F,Rest Forebrain,C86A39,1
APTVS,16547,anterior pretectal nucleus- ventral superficial part,F4E35F,Rest Forebrain,C86A39,1
JcP,16548,juxtacommissural pretectal domain,FFE524,Rest Forebrain,C86A39,1
JcPD,16549,dorsal part of JcP,FFE524,Rest Forebrain,C86A39,1
JcPDv,16550,ventricular zone of JcPD,FFE524,Rest Forebrain,C86A39,1
JcPDm,16551,mantle zone of JcPD,F4E35F,Rest Forebrain,C86A39,1
JcPDp,16552,periventricular stratum of JcPD,F4E35F,Rest Forebrain,C86A39,1
JcPD-PAG,16553,JcPD part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
SpD,16556,dorsal spiriform nucleus,F4E35F,Rest Forebrain,C86A39,1
JcPDs,16557,superficial stratum of JcPD,F4E35F,Rest Forebrain,C86A39,1
JcPL,16559,lateral part of JcP,FFE524,Rest Forebrain,C86A39,1
JcPLv,16560,ventricular zone of JcPL,FFE524,Rest Forebrain,C86A39,1
JcPLm,16561,mantle zone of JcPL,F4E35F,Rest Forebrain,C86A39,1
JcPLp,16562,periventricular stratum of JcPL,F4E35F,Rest Forebrain,C86A39,1
JcPL-PAG,16563,JcPL part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
JcPLi,16564,intermediate stratum of JcPL,F4E35F,Rest Forebrain,C86A39,1
JcPLRt,16565,reticular formation of JcPL,F4E35F,Rest Forebrain,C86A39,1
SpL,16566,lateral spiriform nucleus,F4E35F,Rest Forebrain,C86A39,1
JcPLs,16567,superficial stratum of JcPL,F4E35F,Rest Forebrain,C86A39,1
JcP-LTL,16568,JcP contribution to LTL,F4E35F,Rest Forebrain,C86A39,1
JcPV,16569,ventral part of JcP,FFE524,Rest Forebrain,C86A39,1
JcPVv,16570,ventricular zone of JcPV,FFE524,Rest Forebrain,C86A39,1
JcPVm,16571,mantle zone of JcPV,F4E35F,Rest Forebrain,C86A39,1
JcPVp,16572,periventricular stratum of JcPV,F4E35F,Rest Forebrain,C86A39,1
JcPV-PAG,16573,JcPV part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
JcPVi,16574,intermediate stratum of JcPV,F4E35F,Rest Forebrain,C86A39,1
VJcP,16575,ventral juxtacommissural pretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
JcPVs,16576,superficial stratum of JcPV,F4E35F,Rest Forebrain,C86A39,1
CoP,16578,commissural pretectal domain,FFE524,Rest Forebrain,C86A39,1
CoPD,16579,dorsal part of CoP,FFE524,Rest Forebrain,C86A39,1
CoPDv,16580,ventricular zone of CoPD,FFE524,Rest Forebrain,C86A39,1
CoPDm,16581,mantle zone of CoPD,F4E35F,Rest Forebrain,C86A39,1
CoPDp,16582,periventricular stratum of CoPD,F4E35F,Rest Forebrain,C86A39,1
CoPD-PAG,16583,CoPD part of the periaqueductal gray,F4E35F,Rest Forebrain,C86A39,1
CoPDi,16584,intermediate stratum of CoPD,F4E35F,Rest Forebrain,C86A39,1
MPT,16585,medial pretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
PrPT,16586,principal pretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
CoPDRt,16587,reticular formation of CoPD,F4E35F,Rest Forebrain,C86A39,1
CoPDs,16588,superficial stratum of CoPD,F4E35F,Rest Forebrain,C86A39,1
OPT,16589,olivary pretectal nucleus,F4E35F,Rest Forebrain,C86A39,1
DT,16590,dorsal terminal nucleus of the accessory optic tract,F4E35F,Rest Forebrain,C86A39,1
