GENE,GENEID,GENEFULLNAME,MGOX,MGOY,MGOZ,GA,CLUSTER
Mxd1,17119,MAX dimerization protein 1,0.5157,0.3840,0.7659,1.0000,1
Ereg,13874,epiregulin,0.4669,0.3644,0.8057,0.9549,1
Lamb3,16780,laminin beta 3,0.5067,0.4054,0.7609,0.9053,1
Wwtr1,97064,WW domain containing transcription regulator 1,0.3877,0.3147,0.8664,0.8855,1
Mlxip,208104,MLX interacting protein,0.4085,0.4047,0.8181,0.8810,1
Inhbe,16326,inhibin beta E,0.3965,0.3376,0.8537,0.8778,1
Ets1,23871,E26 avian leukemia oncogene 1 5' domain,0.4594,0.3903,0.7979,0.8760,1
Mnt,17428,max binding protein,0.4082,0.3392,0.8476,0.8747,1
Aph1a,226548,anterior pharynx defective 1a homolog (C. elegans),0.4877,0.3818,0.7851,0.8747,1
Wnt3,22415,wingless-related MMTV integration site 3,0.4827,0.3998,0.7792,0.8716,1
Rxfp3,239336,relaxin family peptide receptor 3,0.4880,0.3935,0.7791,0.8560,1
Pdpn,14726,podoplanin,0.4955,0.3601,0.7905,0.8525,1
Bhlha9,320522,basic helix-loop-helix family member a9,0.5162,0.3971,0.7588,0.8499,1
Spib,272382,Spi-B transcription factor (Spi-1/PU.1 related),0.4677,0.4271,0.7738,0.8496,1
Nfic,18029,nuclear factor I/C,0.4758,0.3722,0.7969,0.8484,1
Bmp4,12159,bone morphogenetic protein 4,0.4481,0.3292,0.8311,0.8472,1
Dll4,54485,delta-like 4 (Drosophila),0.3779,0.2946,0.8777,0.8459,1
Sox6,20679,SRY-box containing gene 6,0.4390,0.4071,0.8010,0.8432,1
Tert,21752,telomerase reverse transcriptase,0.4666,0.3876,0.7950,0.8403,1
Vsx1,114889,visual system homeobox 1 homolog (zebrafish),0.6280,0.3815,0.6783,0.8384,1
Otx1,18423,orthodenticle homolog 1 (Drosophila),0.4650,0.4269,0.7756,0.8369,1
Pml,18854,promyelocytic leukemia,0.3955,0.4005,0.8265,0.8321,1
Eya4,14051,eyes absent 4 homolog (Drosophila),0.5072,0.4105,0.7578,0.8311,1
Abra,223513,actin-binding Rho activating protein,0.4212,0.2965,0.8571,0.8279,1
Ephb3,13845,Eph receptor B3,0.3635,0.2814,0.8881,0.8205,1
Gdf2,12165,growth differentiation factor 2,0.4980,0.4031,0.7678,0.8174,1
Egf,13645,epidermal growth factor,0.4927,0.4302,0.7564,0.8172,1
E2f3,13557,E2F transcription factor 3,0.5233,0.3845,0.7605,0.8157,1
Far2,330450,fatty acyl CoA reductase 2,0.4674,0.5098,0.7222,0.8155,1
Gnrh1,14714,gonadotropin releasing hormone 1,0.4412,0.3420,0.8297,0.8147,1
Bbx,70508,bobby sox homolog (Drosophila),0.3952,0.3411,0.8529,0.8094,1
Flt1,14254,FMS-like tyrosine kinase 1,0.3820,0.3821,0.8415,0.8067,1
Taf13,99730,TAF13 RNA polymerase II TATA box binding protein (TBP)-associated factor,0.5741,0.4004,0.7142,0.8040,1
Rhox6,19202,reproductive homeobox 6,0.4568,0.3942,0.7974,0.7947,1
Axin2,12006,axin2,0.3221,0.2861,0.9024,0.7944,1
Crhr2,12922,corticotropin releasing hormone receptor 2,0.3718,0.3467,0.8612,0.7908,1
Nfkb1,18033,nuclear factor of kappa light polypeptide gene enhancer in B cells 1 p105,0.3250,0.3314,0.8858,0.7829,1
Ddit3,13198,DNA-damage inducible transcript 3,0.5343,0.4300,0.7277,0.7825,1
Nfe2,18022,nuclear factor erythroid derived 2,0.5062,0.3944,0.7669,0.7822,1
Cntnap4,170571,contactin associated protein-like 4,0.4201,0.3198,0.8492,0.7820,1
Prodh,19125,proline dehydrogenase,0.4161,0.3535,0.8378,0.7820,1
Foxd3,15221,forkhead box D3,0.5506,0.4322,0.7141,0.7809,1
Lyl1,17095,lymphoblastomic leukemia 1,0.4297,0.3749,0.8214,0.7785,1
Hmg20b,15353,high mobility group 20 B,0.3063,0.3125,0.8992,0.7782,1
Nr2c1,22025,nuclear receptor subfamily 2 group C member 1,0.3789,0.3878,0.8402,0.7750,1
Htr5a,15563,5-hydroxytryptamine (serotonin) receptor 5A,0.4491,0.3846,0.8065,0.7747,1
Grhl2,252973,grainyhead-like 2 (Drosophila),0.3642,0.3015,0.8812,0.7724,1
Sox30,214105,SRY-box containing gene 30,0.5627,0.4261,0.7084,0.7709,1
Glis3,226075,GLIS family zinc finger 3,0.5008,0.4242,0.7545,0.7699,1
Apba1,319924,amyloid beta (A4) precursor protein binding family A member 1,0.4115,0.3421,0.8448,0.7691,1
Gabrg3,14407,gamma-aminobutyric acid (GABA) A receptor subunit gamma 3,0.4782,0.3942,0.7849,0.7685,1
Ascl3,56787,achaete-scute complex homolog 3 (Drosophila),0.4545,0.3652,0.8124,0.7657,1
Bhlhe41,79362,basic helix-loop-helix family member e41,0.4969,0.4070,0.7664,0.7657,1
Myh9,17886,myosin heavy polypeptide 9 non-muscle,0.3899,0.3501,0.8517,0.7614,1
Rhox9,104384,reproductive homeobox 9,0.4631,0.4118,0.7848,0.7573,1
Trp53,22059,transformation related protein 53,0.3474,0.3336,0.8764,0.7544,1
Cdhr5,72040,cadherin-related family member 5,0.4892,0.4042,0.7729,0.7522,1
Sox14,20669,SRY-box containing gene 14,0.5257,0.4230,0.7381,0.7518,1
Nfe2l3,18025,nuclear factor erythroid derived 2 like 3,0.4484,0.3616,0.8174,0.7513,1
Chrm3,12671,cholinergic receptor muscarinic 3 cardiac,0.2717,0.2938,0.9164,0.7487,1
Rtn4rl1,237847,reticulon 4 receptor-like 1,0.8144,0.5404,0.2114,0.7467,1
Myf5,17877,myogenic factor 5,0.4784,0.3869,0.7883,0.7464,1
Nle1,217011,notchless homolog 1 (Drosophila),0.4833,0.3456,0.8043,0.7454,1
Cacna1b,12287,calcium channel voltage-dependent N type alpha 1B subunit,0.8037,0.4924,0.3340,0.7452,1
Ikzf1,22778,IKAROS family zinc finger 1,0.3968,0.4479,0.8012,0.7426,1
Mkx,210719,mohawk homeobox,0.4488,0.4130,0.7925,0.7406,1
Slc16a2,20502,solute carrier family 16 (monocarboxylic acid transporters) member 2,0.5165,0.3932,0.7607,0.7393,1
Sema4c,20353,sema domain immunoglobulin domain (Ig) transmembrane domain (TM) and short cytoplasmic domain (semaphorin) 4C,0.4901,0.3828,0.7831,0.7387,1
Angptl1,72713,angiopoietin-like 1,0.4808,0.3856,0.7875,0.7369,1
Runx2,12393,runt related transcription factor 2,0.4427,0.3839,0.8103,0.7368,1
Tcf7,21414,transcription factor 7 T cell specific,0.4551,0.3755,0.8074,0.7363,1
Pcdhb9,93880,protocadherin beta 9,0.3852,0.3649,0.8476,0.7361,1
Figf,14205,c-fos induced growth factor,0.6297,0.4344,0.6441,0.7345,1
Pkp2,67451,plakophilin 2,0.4472,0.3517,0.8224,0.7343,1
Onecut2,225631,one cut domain family member 2,0.4456,0.3798,0.8107,0.7340,1
Igfbp6,16012,insulin-like growth factor binding protein 6,0.4582,0.4529,0.7648,0.7328,1
Mesp2,17293,mesoderm posterior 2,0.7174,0.5586,0.4162,0.7301,1
Npy2r,18167,neuropeptide Y receptor Y2,0.5024,0.3704,0.7813,0.7281,1
Calca,12310,calcitonin/calcitonin-related polypeptide alpha,0.5528,0.4174,0.7212,0.7259,1
Dnmt3a,13435,DNA methyltransferase 3A,0.5304,0.4401,0.7246,0.7258,1
Wnt5a,22418,wingless-related MMTV integration site 5A,0.5380,0.4108,0.7360,0.7245,1
1700010L04Rik,619808,RIKEN cDNA 1700010L04 gene,0.4877,0.3816,0.7852,0.7239,1
Scn1a,20265,sodium channel voltage-gated type I alpha,0.7391,0.6001,0.3059,0.7215,1
Prrxl1,107751,paired related homeobox protein-like 1,0.4676,0.3534,0.8102,0.7202,1
