GENE,GENEID,GENEFULLNAME,GA,MGOX,MGOY,MGOZ,CLUSTER
Nkx3-1,18095,NK-3_transcription_factor__locus_1_(Drosophila),0.8900,0.0951,0.5026,0.8592,1
Scn10a,20264,sodium_channel__voltage-gated__type_X__alpha,0.8251,0.0791,0.5604,0.8244,1
Fzd9,14371,frizzled_homolog_9_(Drosophila),0.7819,0.1116,0.3911,0.9136,1
Cotl1,72042,coactosin-like_1_(Dictyostelium),0.7330,0.1028,0.4835,0.8693,1
Styk1,243659,serine/threonine/tyrosine_kinase_1,0.6810,0.1333,0.4272,0.8943,1
Rspo3,72780,R-spondin_3_homolog_(Xenopus_laevis),0.6756,0.1430,0.4665,0.8729,1
Col4a2,12827,collagen__type_IV__alpha_2,0.6303,0.1281,0.3979,0.9084,1
Il6st,16195,interleukin_6_signal_transducer,0.4911,0.1460,0.4922,0.8582,1
Wnt2b,22414,wingless_related_MMTV_integration_site_2b,0.4754,0.1681,0.4625,0.8705,1
Esr1,13982,estrogen_receptor_1_(alpha),0.4680,0.2286,0.5700,0.7892,1
Pcdh12,53601,protocadherin_12,0.4588,0.1767,0.3845,0.9061,1
Foxg1,15228,forkhead_box_G1,0.4356,0.1284,0.3264,0.9365,1
Trdmt1,13434,tRNA_aspartic_acid_methyltransferase_1,0.4270,0.2060,0.6004,0.7727,1
Disc1,244667,disrupted_in_schizophrenia_1,0.4212,0.1016,0.3331,0.9374,1
Cdh17,12557,cadherin_17,0.4201,0.2476,0.5647,0.7872,1
Anxa2,12306,annexin_A2,0.4181,0.1887,0.6019,0.7760,1
Tbx15,21384,T-box_15,0.4004,0.1984,0.4033,0.8933,1
Gpr139,209776,G_protein-coupled_receptor_139,0.3686,0.2415,0.5450,0.8029,1
Cenpb,12616,centromere_protein_B,0.3666,0.2979,0.7177,0.6294,1
Pspn,19197,persephin,0.3539,0.2863,0.7644,0.5777,1
Bmpr1b,12167,bone_morphogenetic_protein_receptor__type_1B,0.3351,0.0975,0.1744,0.9798,1
Xpnpep2,170745,X-prolyl_aminopeptidase_(aminopeptidase_P)_2__membrane-bound,0.3116,0.4666,0.8111,0.3527,1
Agrp,11604,agouti_related_protein,0.3000,0.1111,0.3727,0.9213,1
Neurod6,11922,neurogenic_differentiation_6,0.2943,0.2863,0.3943,0.8733,1
Fgf2,14173,fibroblast_growth_factor_2,0.2805,0.1155,0.3089,0.9441,1
Mtap2,17756,microtubule-associated_protein_2,0.2697,0.1800,0.4749,0.8615,1
Lhx5,16873,LIM_homeobox_protein_5,0.2671,0.2553,0.3662,0.8948,1
Alx1,216285,ALX_homeobox_1,0.2492,0.2383,0.4351,0.8683,1
Ghrh,14601,growth_hormone_releasing_hormone,0.2476,0.1938,0.4012,0.8952,1
Nfatc1,18018,nuclear_factor_of_activated_T_cells__cytoplasmic__calcineurin_dependent_1,0.2305,0.5503,0.8066,-0.2158,1
Col1a1,12842,collagen__type_I__alpha_1,0.2238,0.1999,0.4517,0.8695,1
Cyp19a1,13075,cytochrome_P450__family_19__subfamily_a__polypeptide_1,0.2224,0.1813,0.4056,0.8959,1
Plagl1,22634,pleiomorphic_adenoma_gene-like_1,0.2215,0.1371,0.2322,0.9630,1
L1cam,16728,L1_cell_adhesion_molecule,0.2174,0.2051,0.2477,0.9469,1
Gch1,14528,GTP_cyclohydrolase_1,0.2126,0.2959,0.4762,0.8280,1
Col9a1,12839,collagen__type_IX__alpha_1,0.2125,0.3135,0.5262,0.7905,1
Hcrtr1,230777,hypocretin_(orexin)_receptor_1,0.2124,0.7906,0.4593,0.4049,1
Ros1,19886,Ros1_proto-oncogene,0.2041,0.0489,0.3177,0.9469,1
Dbh,13166,dopamine_beta_hydroxylase,0.2029,0.4685,0.4905,0.7348,1
Trp73,22062,transformation_related_protein_73,0.2003,0.2830,0.4614,0.8409,1
Nrg1,211323,neuregulin_1,0.1963,0.1177,0.2199,0.9684,1
Igfbp3,16009,insulin-like_growth_factor_binding_protein_3,0.1953,0.4410,0.5896,0.6767,1
Pax4,18506,paired_box_gene_4,0.1938,0.4599,0.6945,0.5534,1
Tfap2c,21420,transcription_factor_AP-2__gamma,0.1907,0.6329,0.5797,0.5132,1
Efna4,13639,ephrin_A4,0.1895,0.5736,0.5896,0.5686,1
Ttr,22139,transthyretin,0.1856,0.2206,0.3102,0.9247,1
Hoxc11,109663,homeobox_C11,0.1843,0.3823,0.6728,0.6334,1
Epha1,13835,Eph_receptor_A1,0.1836,0.4482,0.8744,0.1859,1
Htr1d,15552,5-hydroxytryptamine_(serotonin)_receptor_1D,0.1815,0.2044,0.2741,0.9397,1
Angptl7,654812,angiopoietin-like_7,0.1782,0.4665,0.4656,0.7521,1
Irs4,16370,insulin_receptor_substrate_4,0.1693,0.4387,0.3732,0.8174,1
Ebf1,13591,early_B_cell_factor_1,0.1676,0.2124,0.2616,0.9415,1
Dach2,93837,dachshund_2_(Drosophila),0.1601,0.1148,0.0526,0.9920,1
Ddr2,18214,discoidin_domain_receptor_family__member_2,0.1565,0.2179,0.3846,0.8970,1
Pax1,18503,paired_box_gene_1,0.1546,0.3245,-0.4561,0.8286,1
Flt4,14257,FMS-like_tyrosine_kinase_4,0.1520,0.3447,0.3740,0.8610,1
Mc4r,17202,melanocortin_4_receptor,0.1348,0.7399,0.4706,-0.4807,1
S100a10,20194,S100_calcium_binding_protein_A10_(calpactin),0.1276,0.5904,0.2090,0.7796,1
Npvf,60531,neuropeptide_VF_precursor,0.0890,0.5352,-0.0918,0.8397,1
Dbi,13167,diazepam_binding_inhibitor,0.0884,0.3196,0.3078,0.8961,1
Gli1,14632,GLI-Kruppel_family_member_GLI1,0.0825,0.3255,0.0575,0.9438,1
Nkx2-6,18092,NK2_transcription_factor_related__locus_6_(Drosophila),0.0671,0.2393,0.3226,0.9158,1
 ,, ,,,,,
Nfil3,18030,nuclear_factor__interleukin_3__regulated,1.0000,0.0448,0.3732,0.9267,2
Pcp4,18546,Purkinje_cell_protein_4,0.9497,-0.0102,0.1237,0.9923,2
Slc2a1,20525,solute_carrier_family_2_(facilitated_glucose_transporter)__member_1,0.9423,0.0441,0.3370,0.9405,2
Mta3,116871,metastasis_associated_3,0.9345,0.0671,0.4746,0.8777,2
Gabrb1,14400,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_beta_1,0.9224,0.0450,0.3522,0.9348,2
Ntf3,18205,neurotrophin_3,0.9120,0.1201,0.6262,0.7703,2
Mxd4,17122,Max_dimerization_protein_4,0.8978,0.0444,0.2925,0.9552,2
Tfe3,209446,transcription_factor_E3,0.8950,0.0041,0.1611,0.9869,2
Tyro3,22174,TYRO3_protein_tyrosine_kinase_3,0.8878,0.1590,0.7382,0.6556,2
Prkaca,18747,protein_kinase__cAMP_dependent__catalytic__alpha,0.8860,0.1357,0.6490,0.7486,2
Rgs4,19736,regulator_of_G-protein_signaling_4,0.8838,0.0100,0.1026,0.9947,2
Hlf,217082,hepatic_leukemia_factor,0.8834,0.0602,0.3627,0.9300,2
Wdr12,57750,WD_repeat_domain_12,0.8809,0.0183,0.2111,0.9773,2
E2f6,50496,E2F_transcription_factor_6,0.8787,0.1051,0.5331,0.8395,2
Nfyc,18046,nuclear_transcription_factor-Y_gamma,0.8773,-0.0089,0.0888,0.9960,2
Mta2,23942,metastasis-associated_gene_family__member_2,0.8709,0.0756,0.3317,0.9403,2
Kcnc2,268345,potassium_voltage_gated_channel__Shaw-related_subfamily__member_2,0.8692,0.1442,0.7644,0.6284,2
Selplg,20345,selectin__platelet_(p-selectin)_ligand,0.8588,0.0210,0.1211,0.9924,2
Pofut1,140484,protein_O-fucosyltransferase_1,0.8585,0.1443,0.6221,0.7695,2
Pex5l,58869,peroxisomal_biogenesis_factor_5-like,0.8547,0.0168,0.1994,0.9798,2
Gpr37,14763,G_protein-coupled_receptor_37,0.8515,0.0288,0.2701,0.9624,2
Arc,11838,activity_regulated_cytoskeletal-associated_protein,0.8483,0.0573,0.2316,0.9711,2
Rela,19697,v-rel_reticuloendotheliosis_viral_oncogene_homolog_A_(avian),0.8445,0.1442,0.7102,0.6891,2
S1pr1,13609,sphingosine-1-phosphate_receptor_1,0.8439,0.0273,0.1459,0.9889,2
Kcng4,66733,potassium_voltage-gated_channel__subfamily_G__member_4,0.8422,-0.0109,0.1307,0.9914,2
Tef,21685,thyrotroph_embryonic_factor,0.8412,0.0787,0.5013,0.8617,2
Cckbr,12426,cholecystokinin_B_receptor,0.8306,0.1551,0.7419,0.6523,2
Etv6,14011,ets_variant_gene_6_(TEL_oncogene),0.8271,0.0813,0.3296,0.9406,2
Mapk10,26414,mitogen-activated_protein_kinase_10,0.8266,0.1752,0.8143,0.5534,2
Dll1,13388,delta-like_1_(Drosophila),0.8250,0.0719,0.3467,0.9352,2
Jam3,83964,junction_adhesion_molecule_3,0.8204,0.0344,0.1528,0.9877,2
Anxa11,11744,annexin_A11,0.8173,0.1359,0.6223,0.7709,2
Grhl2,252973,grainyhead-like_2_(Drosophila),0.8158,0.0829,0.3452,0.9348,2
Klf4,16600,Kruppel-like_factor_4_(gut),0.8070,0.0546,0.2017,0.9779,2
Gpr123,52389,G_protein-coupled_receptor_123,0.8068,0.0470,0.2820,0.9582,2
Adcyap1r1,11517,adenylate_cyclase_activating_polypeptide_1_receptor_1,0.7990,0.1135,0.5446,0.8310,2
Sema5a,20356,sema_domain__seven_thrombospondin_repeats_(type_1_and_type_1-like)__transmembrane_domain_(TM)_and_short_cytoplasmic_domain__(semaphorin)_5A,0.7973,0.0690,0.2693,0.9606,2
Dbp,13170,D_site_albumin_promoter_binding_protein,0.7967,0.0953,0.2483,0.9640,2
Bcar1,12927,breast_cancer_anti-estrogen_resistance_1,0.7966,0.0433,0.2367,0.9706,2
Gsk3a,606496,glycogen_synthase_kinase_3_alpha,0.7964,0.1543,0.6382,0.7542,2
Taf7,24074,TAF7_RNA_polymerase_II__TATA_box_binding_protein_(TBP)-associated_factor,0.7955,0.0506,0.2168,0.9749,2
Med12,59024,mediator_of_RNA_polymerase_II_transcription__subunit_12_homolog_(yeast),0.7913,0.0163,0.1314,0.9912,2
Ache,11423,acetylcholinesterase,0.7913,0.1188,0.6013,0.7902,2
